;Объем платной услуги;Валовый региональный продукт(ВРП);Индекс потребительских цен;Средний доход населения;Средний возраст населения;Расчет на душу населения;индекс физического объема в % соотношении к предыдущему году.
Субъекты;у;х1;х2;х3;х4;х5;х6
 Челябинская область;13999713,1;3 158 827 619,5;101,08;84503,5;39,1966666666667;5213;85,1
Республика Алтай;697510,5;1 234 753 053,9;103,53;31587,25;41,7033333333333;3773,1;98,7
Республика Тыва;710594,8;1 547 518 039,7;103,2;25398;40,2766666666667;3138,8;72,2
 Республика Хакасия;1741574,8;57 063 978,8;101,74;20317,25;36,52;3771,8;79,3
 Алтайский край;8701513,6;79 321 311,4;103,41;16694;35,7133333333333;4513,6;84,3
Красноярский край;18426699,89;256 322 293,9;103,92;22650,25;33,5566666666667;11896,8;81,3
Иркутская область;13496960,9;628 146 106,3;103,57;23912,25;37,7566666666667;7646,7;75,8
Кемеровская область - Кузбасс;13766717,6;2 696 158 902,9;104,08;31711,75;40,0233333333333;5426,6;76,9
Новосибирская область;18019829,89;1 540 237 816,6;104,47;26318,5;39,1933333333333;7628,7;76,59
Омская область;10784017,4;1 110 194 803,6;104,39;24813,5;34,5066666666667;6672,39;71,09
 Томская область;2869110,3;1 332 895 765,9;103,51;30592,25;29,86;2714,4;55,7
Республика Бурятия;4265649,89;772 095 892,9;103,86;26848,25;38,3233333333333;6631,69;79,7
 Забайкальский край;6594409,4;617 903 638,3;104,29;28404,75;40,81;7350,99;84,6
 Республика Саха (Якутия);21891530,2;285 490 577,1;104,6;25336,75;39,0266666666667;30302,19;64,7
Камчатский край;6190180;369 476 546,2;104,09;25676,25;37,62;22981,19;74,8
Приморский край;20731007,8;1 227 680 260;104,32;45645;40,2033333333333;15573,3;55,2
 Хабаровский край;35893893,5;279 337 843,3;102,81;52531,5;39,9;44200,9;64,5
 Амурская область;8161663,8;1 069 330 650;103,13;36818;39,7133333333333;12025,7;91,8
 Магаданская область;3129667,4;805 215 557,6;104,26;41368,75;38,9733333333333;12987,9;64,8
Сахалинская область;12683002,3;395 617 226;104,87;33237,75;37,8366666666667;28502,5;75,4
 Еврейская автономная область;1446069,5;214 414 925,9;102,61;65116;36,0766666666667;11092,4;80,09
Чукотский автономный округ;376305,8;1 172 226 053,8;103,42;58932,5;34,8166666666667;8833,79;43,4
