;Объем платной услуги;Валовый региональный продукт(ВРП);Индекс потребительских цен;Средний доход населения;Средний возраст населения;Расчет на душу населения;индекс физического объема в % соотношении к предыдущему году.
Субъекты;у;х1;х2;х3;х4;х5;х6
 Челябинская область;174198511,19;3 158 827 619,5;101,08;84503,5;39,1966666666667;59095,49;94,9
Республика Алтай;6568671,2;1 234 753 053,9;103,53;31587,25;41,7033333333333;39141,1;98,1
Республика Тыва;6531446,3;1 547 518 039,7;103,2;25398;40,2766666666667;24340,4;88,7
 Республика Хакасия;19301068,3;57 063 978,8;101,74;20317,25;36,52;43291,39;96,2
 Алтайский край;98579615,69;79 321 311,4;103,41;16694;35,7133333333333;47259,59;92,5
Красноярский край;166141980;256 322 293,9;103,92;22650,25;33,5566666666667;72259,09;90,8
Иркутская область;101234456,49;628 146 106,3;103,57;23912,25;37,7566666666667;51049,3;84,6
Кемеровская область - Кузбасс;122058724,4;2 696 158 902,9;104,08;31711,75;40,0233333333333;53190,39;91,6
Новосибирская область;157590747,39;1 540 237 816,6;104,47;26318,5;39,1933333333333;65407,69;87,4
Омская область;96423149,49;1 110 194 803,6;104,39;24813,5;34,5066666666667;60370,69;88,4
 Томская область;52123950,19;1 332 895 765,9;103,51;30592,25;29,86;49520,8;89,6
Республика Бурятия;43891107,9;772 095 892,9;103,86;26848,25;38,3233333333333;48711,59;90,9
 Забайкальский край;46798782,99;617 903 638,3;104,29;28404,75;40,81;52149,5;90,6
 Республика Саха (Якутия);75608694,49;285 490 577,1;104,6;25336,75;39,0266666666667;93374,5;76,4
Камчатский край;29179507,49;369 476 546,2;104,09;25676,25;37,62;99851,29;90,1
Приморский край;134955512,6;1 227 680 260;104,32;45645;40,2033333333333;89069,79;80,09
 Хабаровский край;119471943,99;279 337 843,3;102,81;52531,5;39,9;115602,19;79
 Амурская область;47363564,99;1 069 330 650;103,13;36818;39,7133333333333;65749,1;93
 Магаданская область;14955753,7;805 215 557,6;104,26;41368,75;38,9733333333333;105309,4;88,2
Сахалинская область;49485915,59;395 617 226;104,87;33237,75;37,8366666666667;112035,5;86
 Еврейская автономная область;8640152,89;214 414 925,9;102,61;65116;36,0766666666667;63203;91,9
Чукотский автономный округ;4198934,59;1 172 226 053,8;103,42;58932,5;34,8166666666667;88555,19;79,2
