;Объем платной услуги;Валовый региональный продукт(ВРП);Индекс потребительских цен;Средний доход населения;Средний возраст населения;Расчет на душу населения;индекс физического объема в % соотношении к предыдущему году.
Субъекты;у;х1;х2;х3;х4;х5;х6
Республика Тыва;44116,2;1 547 518 039,7;103,2;25398;40,2766666666667;235,3;45,7
 Республика Хакасия;204789;57 063 978,8;101,74;20317,25;36,52;518;69,2
 Алтайский край;726338,2;79 321 311,4;103,41;16694;35,7133333333333;394,6;64,5
Красноярский край;1202028,89;256 322 293,9;103,92;22650,25;33,5566666666667;749;47,8
Иркутская область;912120;628 146 106,3;103,57;23912,25;37,7566666666667;530,4;42
Кемеровская область - Кузбасс;818690;2 696 158 902,9;104,08;31711,75;40,0233333333333;563,3;41,7
Новосибирская область;1576732,1;1 540 237 816,6;104,47;26318,5;39,1933333333333;1040,6;48,8
Омская область;696898,3;1 110 194 803,6;104,39;24813,5;34,5066666666667;685,49;46,7
 Томская область;323936,3;1 332 895 765,9;103,51;30592,25;29,86;414,5;46,6
Республика Бурятия;505814,79;772 095 892,9;103,86;26848,25;38,3233333333333;644,6;63,9
 Забайкальский край;263571,09;617 903 638,3;104,29;28404,75;40,81;410,3;56,5
 Республика Саха (Якутия);435756,5;285 490 577,1;104,6;25336,75;39,0266666666667;810,4;39,5
Камчатский край;227652,1;369 476 546,2;104,09;25676,25;37,62;791,7;48,9
Приморский край;1425326,5;1 227 680 260;104,32;45645;40,2033333333333;1424,9;48,3
 Хабаровский край;698410,8;279 337 843,3;102,81;52531,5;39,9;1004,7;44,9
 Амурская область;386402,1;1 069 330 650;103,13;36818;39,7133333333333;565,49;68,4
 Магаданская область;71517;805 215 557,6;104,26;41368,75;38,9733333333333;1039,1;51
Сахалинская область;306793;395 617 226;104,87;33237,75;37,8366666666667;965,39;50,8
 Еврейская автономная область;32185,9;214 414 925,9;102,61;65116;36,0766666666667;358,8;39
Чукотский автономный округ;21114,6;1 172 226 053,8;103,42;58932,5;34,8166666666667;565,19;54,8
