;Объем платной услуги;Валовый региональный продукт(ВРП);Индекс потребительских цен;Средний доход населения;Средний возраст населения;Расчет на душу населения;индекс физического объема в % соотношении к предыдущему году.
Субъекты;у;х1;х2;х3;х4;х5;х6
 Челябинская область;20897371,79;3 158 827 619,5;101,08;84503,5;39,1966666666667;5968,4;99,2
Республика Алтай;415784,4;1 234 753 053,9;103,53;31587,25;41,7033333333333;1915,2;99,1
Республика Тыва;565133,39;1 547 518 039,7;103,2;25398;40,2766666666667;1549;102,1
 Республика Хакасия;2109604,79;57 063 978,8;101,74;20317,25;36,52;3752,89;97,6
 Алтайский край;10208539,6;79 321 311,4;103,41;16694;35,7133333333333;4422,5;97,9
Красноярский край;20470085,19;256 322 293,9;103,92;22650,25;33,5566666666667;6773,29;100,3
Иркутская область;9808557,8;628 146 106,3;103,57;23912,25;37,7566666666667;3570,1;101,7
Кемеровская область - Кузбасс;14980988,49;2 696 158 902,9;104,08;31711,75;40,0233333333333;5731,9;102,8
Новосибирская область;14914550,2;1 540 237 816,6;104,47;26318,5;39,1933333333333;5134,2;102,5
Омская область;13589401,4;1 110 194 803,6;104,39;24813,5;34,5066666666667;6531,2;100,3
 Томская область;5254415,4;1 332 895 765,9;103,51;30592,25;29,86;4577,2;98,6
Республика Бурятия;7242028,9;772 095 892,9;103,86;26848,25;38,3233333333333;7266,7;101
 Забайкальский край;3884147,5;617 903 638,3;104,29;28404,75;40,81;3538,4;99,2
 Республика Саха (Якутия);8963391,29;285 490 577,1;104,6;25336,75;39,0266666666667;6353;103,6
Камчатский край;1777009,6;369 476 546,2;104,09;25676,25;37,62;4664,5;98,7
Приморский край;16019245,5;1 227 680 260;104,32;45645;40,2033333333333;7077,4;102
 Хабаровский край;9101500,9;279 337 843,3;102,81;52531,5;39,9;6578,6;99,4
 Амурская область;3935111,9;1 069 330 650;103,13;36818;39,7133333333333;4375,9;98
 Магаданская область;1066283,59;805 215 557,6;104,26;41368,75;38,9733333333333;7481,29;105
Сахалинская область;6191746,8;395 617 226;104,87;33237,75;37,8366666666667;11451,9;100,4
 Еврейская автономная область;1081723,8;214 414 925,9;102,61;65116;36,0766666666667;6313,7;101,7
Чукотский автономный округ;565938,89;1 172 226 053,8;103,42;58932,5;34,8166666666667;9573,69;93,9
