;Объем платной услуги;Валовый региональный продукт(ВРП);Индекс потребительских цен;Средний доход населения;Средний возраст населения;Расчет на душу населения;индекс физического объема в % соотношении к предыдущему году.
Субъекты;у;х1;х2;х3;х4;х5;х6
Республика Алтай;558544,29;1 234 753 053,9;103,53;31587,25;41,7033333333333;5667,29;94
Республика Тыва;88098,5;1 547 518 039,7;103,2;25398;40,2766666666667;419,1;75,59
 Республика Хакасия;218448;57 063 978,8;101,74;20317,25;36,52;853;78
 Алтайский край;957819,9;79 321 311,4;103,41;16694;35,7133333333333;582,79;81
Красноярский край;1640890,6;256 322 293,9;103,92;22650,25;33,5566666666667;1129,19;75,3
Иркутская область;1795412,7;628 146 106,3;103,57;23912,25;37,7566666666667;1086,1;71,4
Кемеровская область - Кузбасс;1375908,2;2 696 158 902,9;104,08;31711,75;40,0233333333333;874;80
Новосибирская область;2738011,6;1 540 237 816,6;104,47;26318,5;39,1933333333333;1160,6;77,9
Омская область;675608,1;1 110 194 803,6;104,39;24813,5;34,5066666666667;752,8;69,2
 Томская область;380365,7;1 332 895 765,9;103,51;30592,25;29,86;346,7;43,2
Республика Бурятия;690526,3;772 095 892,9;103,86;26848,25;38,3233333333333;875,6;77,9
 Забайкальский край;515748,19;617 903 638,3;104,29;28404,75;40,81;760,9;78,3
 Республика Саха (Якутия);933278,19;285 490 577,1;104,6;25336,75;39,0266666666667;1090,19;98,3
Камчатский край;446048,6;369 476 546,2;104,09;25676,25;37,62;2267,1;93
Приморский край;2921535,3;1 227 680 260;104,32;45645;40,2033333333333;2217;53,3
 Хабаровский край;1185282,3;279 337 843,3;102,81;52531,5;39,9;2004,9;46,9
 Амурская область;578223,79;1 069 330 650;103,13;36818;39,7133333333333;913,2;82,7
 Магаданская область;328171,9;805 215 557,6;104,26;41368,75;38,9733333333333;3595,2;114,8
Сахалинская область;1175418,3;395 617 226;104,87;33237,75;37,8366666666667;3727,1;65,2
 Еврейская автономная область;76913,7;214 414 925,9;102,61;65116;36,0766666666667;752;64,09
Чукотский автономный округ;130893,9;1 172 226 053,8;103,42;58932,5;34,8166666666667;2511,79;104,7
