;Объем платной услуги;Валовый региональный продукт(ВРП);Индекс потребительских цен;Средний доход населения;Средний возраст населения;Расчет на душу населения;индекс физического объема в % соотношении к предыдущему году.
Субъекты;у;х1;х2;х3;х4;х5;х6
 Челябинская область;19234027,99;3 158 827 619,5;101,08;84503,5;39,1966666666667;6049,2;102,5
Республика Алтай;308040,8;1 234 753 053,9;103,53;31587,25;41,7033333333333;1397,6;105
Республика Тыва;311327;1 547 518 039,7;103,2;25398;40,2766666666667;969;93,3
 Республика Хакасия;1975021,79;57 063 978,8;101,74;20317,25;36,52;3894,4;104,9
 Алтайский край;6758986,8;79 321 311,4;103,41;16694;35,7133333333333;3048,2;97,4
Красноярский край;19361813,59;256 322 293,9;103,92;22650,25;33,5566666666667;7072,29;99,3
Иркутская область;10821082,9;628 146 106,3;103,57;23912,25;37,7566666666667;4818;94,8
Кемеровская область - Кузбасс;13239707,3;2 696 158 902,9;104,08;31711,75;40,0233333333333;5417,5;103,1
Новосибирская область;16970758,89;1 540 237 816,6;104,47;26318,5;39,1933333333333;5536,9;98,7
Омская область;8549133,8;1 110 194 803,6;104,39;24813,5;34,5066666666667;4718,8;96,1
 Томская область;6613906,1;1 332 895 765,9;103,51;30592,25;29,86;5031,69;125,5
Республика Бурятия;2361251,29;772 095 892,9;103,86;26848,25;38,3233333333333;2260,59;90,5
 Забайкальский край;4064880,49;617 903 638,3;104,29;28404,75;40,81;4280,09;96,9
 Республика Саха (Якутия);4501032,89;285 490 577,1;104,6;25336,75;39,0266666666667;5248,2;94,9
Камчатский край;2636779,3;369 476 546,2;104,09;25676,25;37,62;8015,2;99
Приморский край;9457967,6;1 227 680 260;104,32;45645;40,2033333333333;5714,9;86,2
 Хабаровский край;8708308,6;279 337 843,3;102,81;52531,5;39,9;10213,79;93,2
 Амурская область;3852319,6;1 069 330 650;103,13;36818;39,7133333333333;5051,79;93,2
 Магаданская область;1113061,1;805 215 557,6;104,26;41368,75;38,9733333333333;8749,19;85,6
Сахалинская область;3400104;395 617 226;104,87;33237,75;37,8366666666667;7298,1;96,5
 Еврейская автономная область;717072,2;214 414 925,9;102,61;65116;36,0766666666667;4885,29;100,5
Чукотский автономный округ;646977,6;1 172 226 053,8;103,42;58932,5;34,8166666666667;13921,59;100,9
