;Объем платной услуги;Валовый региональный продукт(ВРП);Индекс потребительских цен;Средний доход населения;Средний возраст населения;Расчет на душу населения;индекс физического объема в % соотношении к предыдущему году.
Субъекты;у;х1;х2;х3;х4;х5;х6
 Челябинская область;52119558,29;3 158 827 619,5;101,08;84503,5;39,1966666666667;16489,59;107,3
Республика Алтай;1661220,7;1 234 753 053,9;103,53;31587,25;41,7033333333333;8266,09;102,3
Республика Тыва;1740591,2;1 547 518 039,7;103,2;25398;40,2766666666667;5808,49;98,9
 Республика Хакасия;5333371;57 063 978,8;101,74;20317,25;36,52;10932,59;107,4
 Алтайский край;31427566,2;79 321 311,4;103,41;16694;35,7133333333333;14499,4;96,4
Красноярский край;45298321,7;256 322 293,9;103,92;22650,25;33,5566666666667;16860,89;98,9
Иркутская область;25668298,5;628 146 106,3;103,57;23912,25;37,7566666666667;12291,2;98,4
Кемеровская область - Кузбасс;29925483,5;2 696 158 902,9;104,08;31711,75;40,0233333333333;12953,9;102,2
Новосибирская область;34832725;1 540 237 816,6;104,47;26318,5;39,1933333333333;13485,3;96,1
Омская область;24331974,69;1 110 194 803,6;104,39;24813,5;34,5066666666667;14278;100,1
 Томская область;14171699,4;1 332 895 765,9;103,51;30592,25;29,86;14836,5;92,5
Республика Бурятия;10768408,29;772 095 892,9;103,86;26848,25;38,3233333333333;10877,59;95,3
 Забайкальский край;12621421,8;617 903 638,3;104,29;28404,75;40,81;13316,19;97,6
 Республика Саха (Якутия);15215293,69;285 490 577,1;104,6;25336,75;39,0266666666667;16665,9;101,3
Камчатский край;8704793,09;369 476 546,2;104,09;25676,25;37,62;29053;103
Приморский край;31388872,6;1 227 680 260;104,32;45645;40,2033333333333;19631;100,3
 Хабаровский край;25738259;279 337 843,3;102,81;52531,5;39,9;18424,7;103,4
 Амурская область;13201922,9;1 069 330 650;103,13;36818;39,7133333333333;16715,39;105,1
 Магаданская область;4469222,4;805 215 557,6;104,26;41368,75;38,9733333333333;33396,3;100,2
Сахалинская область;10300490,8;395 617 226;104,87;33237,75;37,8366666666667;22022,49;103
 Еврейская автономная область;2456958,7;214 414 925,9;102,61;65116;36,0766666666667;16500,39;101,1
Чукотский автономный округ;913930,2;1 172 226 053,8;103,42;58932,5;34,8166666666667;20036,19;101,3
